Task_cnt	Time(us)		Latency(us)
402		1070346.34		69.46
403		1070415.88		69.53
404		1070485.27		69.38
405		1070555.26		69.97
406		1070624.94		69.67
407		1070694.20		69.25
408		1070763.70		69.49
409		1070833.23		69.52
410		1070903.21		69.96
411		1070973.06		69.83
412		1071042.26		69.19
413		1071113.00		70.73
414		1071182.61		69.60
415		1071251.14		68.51
416		1071320.07		68.92
417		1071390.11		70.03
418		1071459.28		69.15
419		1071527.44		68.15
420		1071593.46		66.01
421		1071662.99		69.52
422		1071732.71		69.70
423		1071802.18		69.45
424		1071875.39		73.20
425		1071944.78		69.38
426		1072014.50		69.71
427		1072084.47		69.95
428		1072153.83		69.35
429		1072223.31		69.47
430		1072292.77		69.44
431		1072362.50		69.72
432		1072432.44		69.93
433		1072502.23		69.77
434		1072571.54		69.30
435		1072641.07		69.52
436		1072710.60		69.51
437		1072779.51		68.90
438		1072848.43		68.90
439		1072918.39		69.95
440		1072987.85		69.45
441		1073057.23		69.37
442		1073127.42		70.18
443		1073196.85		69.41
444		1073266.56		69.70
445		1073339.13		72.56
446		1073408.58		69.43
447		1073478.30		69.70
448		1073548.06		69.75
449		1073617.95		69.87
450		1073687.39		69.43
451		1073756.79		69.38
452		1073826.33		69.53
453		1073895.75		69.40
454		1073965.39		69.62
455		1074035.19		69.79
456		1074104.66		69.46
457		1074174.16		69.49
458		1074243.52		69.35
459		1074312.94		69.40
460		1074382.39		69.44
461		1074451.90		69.49
462		1074521.35		69.44
463		1074591.24		69.87
464		1074660.73		69.48
465		1074730.29		69.55
466		1074798.58		68.27
467		1074867.97		69.37
468		1074937.77		69.79
469		1075008.28		70.50
470		1075076.47		68.17
471		1075145.90		69.42
472		1075215.32		69.40
473		1075284.78		69.45
474		1075353.70		68.90
475		1075423.21		69.50
476		1075493.16		69.94
477		1075563.09		69.91
478		1075632.75		69.65
479		1075702.77		70.00
480		1075772.03		69.25
481		1075870.55		98.50
482		1075940.32		69.76
483		1076010.27		69.93
484		1076079.58		69.30
485		1076148.96		69.37
486		1076218.40		69.42
487		1076288.40		69.99
488		1076357.82		69.41
489		1076426.27		68.44
490		1076494.25		67.96
491		1076563.66		69.40
492		1076633.11		69.44
493		1076702.61		69.49
494		1076772.31		69.68
495		1076842.44		70.12
496		1076912.38		69.93
497		1076982.20		69.81
498		1077052.03		69.81
499		1077121.43		69.39
500		1077190.32		68.88
501		1077259.72		69.39
502		1077329.55		69.81
503		1077399.39		69.82
504		1077466.90		67.50
505		1077536.84		69.92
506		1077606.57		69.72
507		1077675.93		69.35
508		1077743.84		67.89
509		1077813.77		69.92
510		1077883.40		69.61
511		1077952.64		69.23
512		1078021.93		69.28
513		1078091.36		69.41
514		1078161.52		70.15
515		1078231.38		69.85
516		1078300.38		68.99
517		1078370.25		69.85
518		1078439.66		69.40
519		1078509.05		69.37
520		1078577.46		68.40
521		1078646.96		69.49
522		1078716.34		69.37
523		1078786.37		70.01
524		1078856.17		69.78
525		1078926.01		69.83
526		1078995.83		69.80
527		1079061.53		65.69
528		1079131.00		69.46
529		1079200.49		69.48
530		1079269.87		69.36
531		1079338.34		68.46
532		1079408.27		69.91
533		1079477.74		69.46
534		1079547.63		69.88
535		1079617.16		69.51
536		1079686.70		69.53
537		1079756.03		69.31
538		1079839.70		83.66
539		1079909.81		70.10
540		1079979.75		69.92
541		1080049.94		70.18
542		1080116.39		66.44
543		1080186.27		69.87
544		1080255.32		69.03
545		1080324.72		69.39
546		1080394.73		69.99
547		1080464.11		69.37
548		1080533.91		69.78
549		1080603.63		69.71
550		1080672.99		69.34
551		1080742.49		69.49
552		1080811.96		69.45
553		1080881.41		69.44
554		1080951.09		69.67
555		1081020.28		69.17
556		1081089.78		69.49
557		1081159.21		69.42
558		1081228.83		69.60
559		1081298.25		69.41
560		1081367.41		69.15
561		1081437.02		69.60
562		1081506.34		69.30
563		1081575.75		69.40
564		1081645.31		69.54
565		1081713.06		67.74
566		1081782.66		69.58
567		1081853.13		70.45
568		1081923.45		70.31
569		1081990.57		67.10
570		1082059.36		68.78
571		1082128.23		68.86
572		1082197.13		68.88
573		1082265.48		68.33
574		1082334.84		69.35
575		1082404.22		69.37
576		1082473.05		68.82
577		1082542.99		69.92
578		1082613.53		70.52
579		1082682.59		69.05
580		1082751.91		69.31
581		1082820.98		69.06
582		1082890.86		69.86
583		1082959.99		69.12
584		1083029.35		69.35
585		1083098.66		69.29
586		1083167.63		68.96
587		1083236.96		69.31
588		1083305.86		68.89
589		1083375.17		69.30
590		1083445.38		70.19
591		1083515.37		69.98
592		1083583.51		68.13
593		1083652.41		68.89
594		1083721.81		69.39
595		1083791.61		69.79
596		1083861.98		70.35
597		1083931.49		69.50
598		1084000.71		69.21
599		1084070.33		69.60
600		1084140.00		69.66
601		1084209.94		69.93
602		1084279.23		69.28
603		1084348.94		69.69
604		1084419.09		70.14
605		1084488.28		69.17
606		1084557.81		69.52
607		1084627.49		69.67
608		1084697.27		69.77
609		1084766.76		69.48
610		1084835.95		69.18
611		1084904.88		68.92
612		1084974.35		69.45
613		1085043.88		69.51
614		1085113.98		70.09
615		1085181.26		67.26
616		1085250.76		69.48
617		1085319.94		69.18
618		1085389.41		69.45
619		1085458.17		68.75
620		1085527.20		69.01
621		1085596.47		69.26
622		1085666.48		70.00
623		1085736.01		69.51
624		1085805.70		69.68
625		1085875.52		69.80
626		1085944.52		68.99
627		1086014.10		69.56
628		1086083.41		69.29
629		1086153.23		69.81
630		1086222.48		69.23
631		1086292.61		70.12
632		1086362.21		69.59
633		1086431.83		69.60
634		1086500.95		69.11
635		1086570.25		69.29
636		1086639.78		69.51
637		1086706.57		66.78
638		1086774.62		68.03
639		1086844.19		69.56
640		1086913.97		69.77
641		1086982.89		68.91
642		1087050.91		68.01
643		1087121.19		70.27
644		1087190.04		68.84
645		1087259.26		69.21
646		1087328.50		69.23
647		1087398.20		69.69
648		1087467.39		69.17
649		1087536.51		69.12
650		1087606.15		69.62
651		1087675.77		69.61
652		1087745.01		69.23
653		1087827.90		82.88
654		1087897.35		69.44
655		1087967.20		69.84
656		1088036.52		69.31
657		1088105.39		68.86
658		1088175.11		69.70
659		1088245.04		69.92
660		1088314.14		69.09
661		1088382.58		68.43
662		1088451.49		68.90
663		1088520.90		69.39
664		1088590.21		69.30
665		1088659.56		69.34
666		1088729.24		69.67
667		1088799.19		69.93
668		1088868.26		69.06
669		1088937.61		69.33
670		1089006.96		69.34
671		1089075.86		68.88
672		1089144.72		68.85
673		1089213.59		68.85
674		1089283.37		69.77
675		1089353.25		69.87
676		1089423.07		69.81
677		1089492.09		69.01
678		1089561.46		69.36
679		1089630.29		68.82
680		1089698.22		67.91
681		1089767.61		69.38
682		1089836.68		69.06
683		1089905.85		69.15
684		1089974.33		68.47
685		1090043.69		69.34
686		1090112.60		68.90
687		1090182.04		69.42
688		1090248.91		66.86
689		1090318.28		69.35
690		1090387.12		68.83
691		1090455.96		68.83
692		1090525.33		69.35
693		1090595.16		69.82
694		1090664.81		69.64
695		1090734.65		69.83
696		1090803.77		69.10
697		1090873.17		69.39
698		1090942.03		68.84
699		1091011.08		69.05
700		1091080.39		69.29
701		1091150.22		69.82
702		1091219.65		69.41
703		1091289.20		69.54
704		1091358.63		69.42
705		1091427.85		69.21
706		1091496.77		68.91
707		1091564.65		67.86
708		1091634.05		69.39
709		1091703.38		69.31
710		1091773.10		69.71
711		1091845.20		72.09
712		1091916.03		70.81
713		1091986.60		70.54
714		1092057.33		70.70
715		1092127.60		70.24
716		1092200.45		72.82
717		1092270.36		69.90
718		1092340.14		69.77
719		1092409.45		69.29
720		1092478.92		69.46
721		1092548.23		69.30
722		1092617.18		68.94
723		1092686.27		69.07
724		1092756.16		69.88
725		1092825.93		69.77
726		1092893.01		67.06
727		1092962.66		69.64
728		1093032.56		69.88
729		1093102.20		69.62
730		1093169.31		67.10
731		1093238.93		69.61
732		1093308.25		69.31
733		1093377.16		68.91
734		1093446.17		68.99
735		1093515.86		69.68
736		1093585.19		69.31
737		1093654.55		69.35
738		1093724.27		69.72
739		1093794.15		69.87
740		1093863.12		68.95
741		1093933.02		69.88
742		1094002.85		69.82
743		1094072.68		69.81
744		1094141.48		68.78
745		1094210.31		68.82
746		1094279.24		68.91
747		1094348.70		69.45
748		1094418.83		70.12
749		1094489.17		70.32
750		1094559.18		70.00
751		1094628.20		69.00
752		1094697.61		69.40
753		1094766.97		69.35
754		1094835.85		68.87
755		1094904.78		68.91
756		1094974.21		69.42
757		1095040.81		66.58
758		1095110.46		69.64
759		1095179.76		69.29
760		1095249.36		69.59
761		1095318.06		68.68
762		1095387.42		69.35
763		1095456.95		69.52
764		1095526.90		69.94
765		1095597.48		70.56
766		1095667.31		69.82
767		1095736.35		69.02
768		1095832.95		96.59
769		1095902.33		69.37
770		1095972.07		69.72
771		1096041.50		69.42
772		1096110.91		69.40
773		1096180.25		69.32
774		1096249.68		69.42
775		1096318.70		69.00
776		1096388.58		69.87
777		1096458.35		69.76
778		1096527.66		69.29
779		1096597.09		69.42
780		1096666.69		69.59
781		1096736.55		69.84
782		1096806.37		69.81
783		1096876.11		69.73
784		1096945.54		69.42
785		1097013.40		67.85
786		1097082.33		68.91
787		1097150.71		68.36
788		1097220.01		69.29
789		1097289.42		69.40
790		1097359.75		70.32
791		1097427.15		67.38
792		1097495.94		68.78
793		1097565.39		69.44
794		1097634.50		69.09
795		1097704.72		70.21
796		1097774.69		69.96
797		1097843.83		69.12
798		1097913.20		69.36
799		1097982.61		69.39
800		1098051.40		68.78
801		1098120.25		68.84
802		1098189.67		69.40
803		1098259.05		69.37
804		1098328.75		69.69
805		1098397.76		69.00
806		1098467.62		69.84
807		1098537.54		69.90
808		1098607.00		69.45
809		1098675.78		68.77
810		1098745.18		69.38
811		1098814.54		69.35
812		1098883.91		69.36
813		1098953.51		69.58
814		1099022.15		68.63
815		1099091.94		69.78
816		1099160.90		68.95
817		1099230.26		69.35
818		1099298.67		68.39
819		1099368.02		69.34
820		1099437.41		69.38
821		1099506.82		69.40
822		1099583.83		77.00
823		1099646.00		62.16
824		1099714.79		68.77
825		1099798.63		83.83
826		1099868.44		69.80
827		1099937.34		68.89
828		1100006.34		68.98
829		1100077.43		71.08
830		1100147.62		70.17
831		1100217.76		70.14
832		1100287.35		69.57
833		1100356.10		68.74
834		1100425.49		69.38
835		1100495.30		69.80
836		1100564.69		69.38
837		1100633.46		68.75
838		1100702.25		68.78
839		1100771.20		68.94
840		1100840.05		68.83
841		1100908.86		68.80
842		1100978.26		69.39
843		1101047.16		68.89
844		1101116.57		69.39
845		1101185.66		69.08
